timestamp,roll,pitch,yaw,timestamp_mag,mag_x,mag_y,mag_z
1.74E+15,-0.508,2.273,-35.797,1.74E+15,0.102725676,0.051410823,0.091608084
1.74E+15,-0.508,2.272,-35.801,1.74E+15,0.102521,0.051626,0.091728
1.74E+15,-0.508,2.268,-35.802,1.74E+15,0.102521,0.051626,0.091728
1.74E+15,-0.509,2.272,-35.804,1.74E+15,0.102677,0.051034,0.091989
1.74E+15,-0.509,2.268,-35.808,1.74E+15,0.102603411,0.051638887,0.091283722
1.74E+15,-0.511,2.267,-35.812,1.74E+15,0.103568,0.050169,0.092219
1.74E+15,-0.509,2.271,-35.815,1.74E+15,0.103075585,0.050781818,0.091732759
1.74E+15,-0.509,2.269,-35.817,1.74E+15,0.102571619,0.051506517,0.091274779
1.74E+15,-0.51,2.268,-35.82,1.74E+15,0.103277,0.050211,0.093228
1.74E+15,-0.51,2.265,-35.82,1.74E+15,0.102866622,0.051029601,0.091533302
1.74E+15,-0.51,2.267,-35.824,1.74E+15,0.102831948,0.051146169,0.091070847
1.74E+15,-0.51,2.267,-35.826,1.74E+15,0.102805,0.051094,0.090772
1.74E+15,-0.51,2.269,-35.827,1.74E+15,0.102761,0.051376,0.090922
1.74E+15,-0.512,2.264,-35.831,1.74E+15,0.102826191,0.051374083,0.091507762
1.74E+15,-0.509,2.271,-35.832,1.74E+15,0.102912,0.050552,0.091133
1.74E+15,-0.511,2.268,-35.833,1.74E+15,0.102719128,0.051418396,0.091213791
1.74E+15,-0.511,2.265,-35.835,1.74E+15,0.102910013,0.050643756,0.09149636
1.74E+15,-0.512,2.267,-35.836,1.74E+15,0.102728848,0.051222725,0.091108764
1.74E+15,-0.512,2.268,-35.838,1.74E+15,0.102760563,0.051414427,0.091384105
1.74E+15,-0.513,2.268,-35.84,1.74E+15,0.102823655,0.051649245,0.091238912
1.74E+15,-0.511,2.269,-35.842,1.74E+15,0.103052964,0.051143024,0.092373863
1.74E+15,-0.514,2.266,-35.847,1.74E+15,0.10283,0.0514,0.091533
1.74E+15,-0.514,2.266,-35.848,1.74E+15,0.10283,0.0514,0.091533
1.74E+15,-0.514,2.268,-35.85,1.74E+15,0.10283,0.0514,0.091533
1.74E+15,-0.513,2.272,-35.852,1.74E+15,0.102715989,0.051412511,0.090927776
1.74E+15,-0.517,2.267,-35.853,1.74E+15,0.10299963,0.051522869,0.090968058
1.74E+15,-0.516,2.268,-35.854,1.74E+15,0.102975289,0.050577576,0.092542217
1.74E+15,-0.516,2.27,-35.858,1.74E+15,0.102807302,0.05122873,0.091520745
1.74E+15,-0.519,2.266,-35.861,1.74E+15,0.103049,0.049797,0.092869
1.74E+15,-0.521,2.263,-35.862,1.74E+15,0.103049,0.049797,0.092869
1.74E+15,-0.52,2.269,-35.866,1.74E+15,0.102689,0.051627,0.092088
1.74E+15,-0.522,2.265,-35.867,1.74E+15,0.102689,0.051627,0.092088
1.74E+15,-0.52,2.271,-35.868,1.74E+15,0.102623461,0.05188023,0.091581058
1.74E+15,-0.516,2.267,-35.864,1.74E+15,0.103010875,0.051004944,0.091184205
1.74E+15,-0.517,2.274,-35.86,1.74E+15,0.10286559,0.051477643,0.091144088
1.74E+15,-0.51,2.286,-35.857,1.74E+15,0.103079154,0.050081602,0.092607359
1.74E+15,-0.514,2.279,-35.862,1.74E+15,0.102512,0.052793,0.090654
1.74E+15,-0.512,2.284,-35.862,1.74E+15,0.102803268,0.051535126,0.09123711
1.74E+15,-0.514,2.278,-35.862,1.74E+15,0.102924,0.051404,0.091078
1.74E+15,-0.514,2.278,-35.861,1.74E+15,0.103046806,0.050749816,0.091511328
1.74E+15,-0.504,2.298,-35.86,1.74E+15,0.102734757,0.051532916,0.09117437
1.74E+15,-0.514,2.277,-35.86,1.74E+15,0.103025,0.051329,0.090928
1.74E+15,-0.505,2.299,-35.859,1.74E+15,0.102782917,0.051561011,0.090904789
1.74E+15,-0.519,2.268,-35.861,1.74E+15,0.103101,0.049798,0.09282
1.74E+15,-0.505,2.295,-35.86,1.74E+15,0.102787049,0.051533216,0.091062243
1.74E+15,-0.511,2.284,-35.86,1.74E+15,0.102778052,0.050821871,0.09197645
1.74E+15,-0.502,2.303,-35.86,1.74E+15,0.102695,0.052284,0.089847
1.74E+15,-0.508,2.292,-35.863,1.74E+15,0.10300472,0.050398807,0.091879458
1.74E+15,-0.504,2.298,-35.864,1.74E+15,0.103050231,0.051226168,0.090807741
1.74E+15,-0.501,2.298,-35.861,1.74E+15,0.102472,0.051159,0.092187
1.74E+15,-0.494,2.308,-35.859,1.74E+15,0.102965619,0.050865491,0.091468029
1.74E+15,-0.494,2.307,-35.864,1.74E+15,0.102715,0.051322,0.091226
1.74E+15,-0.488,2.313,-35.871,1.74E+15,0.102591172,0.051391752,0.09150171
1.74E+15,-0.48,2.321,-35.872,1.74E+15,0.103167,0.051076,0.090425
1.74E+15,-0.483,2.318,-35.877,1.74E+15,0.102716,0.051348,0.091277
1.74E+15,-0.477,2.328,-35.882,1.74E+15,0.102730486,0.051391766,0.091135963
1.74E+15,-0.475,2.331,-35.878,1.74E+15,0.103281,0.050817,0.090937
1.74E+15,-0.481,2.322,-35.879,1.74E+15,0.102754262,0.051269372,0.091390372
1.74E+15,-0.484,2.316,-35.879,1.74E+15,0.103126568,0.050831791,0.091289502
1.74E+15,-0.486,2.322,-35.879,1.74E+15,0.102509831,0.051783166,0.090718658
1.74E+15,-0.491,2.308,-35.882,1.74E+15,0.102867664,0.050946202,0.091394839
1.74E+15,-0.488,2.32,-35.881,1.74E+15,0.10256,0.051216,0.091426
1.74E+15,-0.496,2.304,-35.884,1.74E+15,0.102172,0.052094,0.090192
1.74E+15,-0.485,2.327,-35.885,1.74E+15,0.10241179,0.051655959,0.090743957
1.74E+15,-0.497,2.303,-35.884,1.74E+15,0.102710088,0.051343707,0.091257216
1.74E+15,-0.491,2.316,-35.888,1.74E+15,0.10325,0.050786,0.091801
1.74E+15,-0.493,2.307,-35.888,1.74E+15,0.102900617,0.051018286,0.09136629
1.74E+15,-0.487,2.323,-35.883,1.74E+15,0.102452,0.05168,0.091065
1.74E+15,-0.494,2.31,-35.883,1.74E+15,0.103076301,0.050895952,0.091720127
1.74E+15,-0.489,2.318,-35.884,1.74E+15,0.102503081,0.051840744,0.090606263
1.74E+15,-0.503,2.292,-35.89,1.74E+15,0.103521,0.050064,0.092523
1.74E+15,-0.487,2.327,-35.891,1.74E+15,0.102703888,0.05140462,0.091275575
1.74E+15,-0.487,2.331,-35.896,1.74E+15,0.103521813,0.050056177,0.092651553
1.74E+15,-0.495,2.307,-35.899,1.74E+15,0.102291,0.052455,0.090498
1.74E+15,-0.495,2.308,-35.9,1.74E+15,0.103255,0.051044,0.091851
1.74E+15,-0.492,2.318,-35.904,1.74E+15,0.103277836,0.050324607,0.092437571
1.74E+15,-0.499,2.302,-35.905,1.74E+15,0.102756484,0.05160893,0.0911981
1.74E+15,-0.492,2.322,-35.904,1.74E+15,0.102753451,0.051162641,0.091776673
1.74E+15,-0.502,2.306,-35.905,1.74E+15,0.103256,0.051043,0.091902
1.74E+15,-0.501,2.311,-35.907,1.74E+15,0.102443633,0.052570438,0.089913605
1.74E+15,-0.502,2.309,-35.908,1.74E+15,0.102842,0.050724,0.092452
